# 일본어 표제어 -> 한국어 뜻
#
# JMdict의 영어 뜻(CC BY-SA 4.0)을 참고해 한국어로 옮긴 것이므로, 이 파일도 JMdict의
# 파생 데이터에 해당한다. LICENSES.md 참고.
#
# 형식: 표제어<TAB>한국어뜻
# 검수 시에는 build/vocab_raw.csv 의 english 컬럼과 대조하면 된다.
一つ	하나, 한 개
州	주(행정구역)
市内	시내
平和	평화
平均	평균
建設	건설
強化	강화
当初	당초
当局	당국
当時	당시
形	모양, 형태
役割	역할
必要	필요함
情勢	정세
情報	정보
意向	의향
成長	성장
戦争	전쟁
戦後	전후
批判	비판
技術	기술
投資	투자
拡大	확대
指導	지도
捜査	수사
支持	지지
改正	개정
改革	개혁
放送	방송
政党	정당
政府	정부
政権	정권
政治	정치
政治家	정치가
政界	정계
教授	교수
教育	교육
文化	문화
方向	방향
方法	방법
方針	방침
日米	일본과 미국
昨年	작년
時期	시기
景気	경기(경제 상황)
書記	서기
最も	가장
最初	최초, 맨 처음
最大	최대
最後	최후, 마지막
最終	최종
最近	최근
最高	최고
期待	기대
期間	기간
本部	본부
条件	조건
条約	조약
構造	구조
機構	기구
機能	기능
機関	기관
歴史	역사
段階	단계
決定	결정
決議	결의
活動	활동
状況	상황
現在	현재
現地	현지
現場	현장
現実	현실
理由	이유
環境	환경
生活	생활
男性	남성
番組	프로그램(방송)
疑い	의심, 혐의
目標	목표
目的	목적
相手	상대
程度	정도
積極的	적극적
空港	공항
管理	관리
経営	경영
経済	경제
結果	결과
総会	총회
総合	종합
職員	직원
背景	배경
自宅	자택
自然	자연
自由	자유
自身	자신
舞台	무대
行政	행정
被告	피고
要求	요구
規制	규제
解決	해결
言葉	말, 언어
記事	기사
記者	기자
記録	기록
訪問	방문
課題	과제
調べ	조사
調整	조정
調査	조사
警察	경찰
議会	의회
議員	의원
議長	의장
財政	재정
販売	판매
責任	책임
貿易	무역
資金	자금
軍事	군사
輸入	수입(輸入)
輸出	수출
農業	농업
通信	통신
連合	연합
連続	연속
過去	과거
違反	위반
選手	선수
部分	부분
部長	부장
部門	부문
都内	도쿄 시내
重要	중요함
野党	야당
野球	야구
金利	금리
関係	관계
関心	관심
関連	관련
領土	영토
首相	총리
首脳	수뇌, 정상
一昨年	재작년
一緒	함께, 같이
上昇	상승
不満	불만
世論	여론
主婦	주부
主張	주장
主要	주요함
予想	예상
予選	예선
交換	교환
交通	교통
人権	인권
以内	이내
仲間	동료, 한패
作戦	작전
例	예, 관례
例えば	예를 들면
保守	보수, 유지관리
保険	보험
修正	수정
停止	정지
健康	건강
傾向	경향
党	당(정당)
全員	전원
公共	공공
公園	공원
公式	공식
公演	공연
公開	공개
共通	공통
内部	내부
再び	다시, 재차
冷戦	냉전
処分	처분
処理	처리
利用	이용
劇場	극장
労働者	노동자
勝利	승리
医師	의사
危険	위험
原子力	원자력
反発	반발
収入	수입(收入)
取っ手	손잡이
取材	취재
受験	수험, 시험 응시
史上	사상(역사상)
同様	마찬가지임
呼ぶ	부르다
営業	영업
国境	국경
国防	국방
国際的	국제적
地震	지진
基地	기지
増加	증가
壁	벽
多数	다수
夢	꿈
大変	매우, 큰일
夫人	부인
夫婦	부부
娘	딸
存在	존재
学部	학부
宇宙	우주
安定	안정
実力	실력
実現	실현
実績	실적
実際	실제
実験	실험
寺	절, 사찰
対立	대립
対話	대화
専務	전무
専門	전문
専門家	전문가
導入	도입
展開	전개
島	섬
差	차이
希望	희망
幅	폭, 너비
年齢	연령, 나이
広告	광고
延長	연장
当選	당선
彼ら	그들
彼女	그녀
恐れ	두려움, 우려
意欲	의욕
意識	의식
愛	사랑
感じ	느낌
成果	성과
成立	성립
所得	소득
手続	수속, 절차
承認	승인
担当	담당
採用	채용, 채택
支局	지국
支店	지점
改善	개선
教師	교사
数	수, 숫자
数字	숫자
整備	정비
日程	일정
早期	조기
明確	명확함
昔	옛날
映像	영상
普通	보통
有効	유효함
本当	정말, 사실
柱	기둥
検察	검찰
検査	검사
構想	구상
様子	모습, 상태
権利	권리
権力	권력
機会	기회
正常	정상
正式	정식
武力	무력
武器	무기
武装	무장
比べる	비교하다
比例	비례
水準	수준
決勝	결승
決算	결산
治療	치료
法人	법인
法律	법률
流れ	흐름
消費	소비
消費者	소비자
深刻	심각함
混乱	혼란
準備	준비
演説	연설
無料	무료
独立	독립
独自	독자적임
現代	현대
現状	현상, 현재 상태
理解	이해
生徒	학생
疑問	의문
発展	발전
発表	발표
直前	직전
直後	직후
直接	직접
相互	상호
相談	상담, 의논
石油	석유
確か	확실함
確保	확보
確実	확실함
禁止	금지
科学	과학
移植	이식
競争	경쟁
競技	경기
簡単	간단함
精神	정신
組合	조합
経験	경험
結婚	결혼
結局	결국
結論	결론
総理	총리
編成	편성
編集	편집
練習	연습
美術	미술
老人	노인
胸	가슴
能力	능력
自信	자신감
自治	자치
航空	항공
芸術	예술
若者	젊은이
表情	표정
表現	표현
被害	피해
装置	장치
製品	제품
製造	제조
見解	견해
観光	관광
観測	관측
解散	해산
記念	기념
設備	설비
設置	설치
評価	평가
認識	인식
課長	과장
講演	강연
議論	논의, 논쟁
豊か	풍부함
負担	부담
費用	비용
資料	자료
資産	자산
賛成	찬성
身	몸, 신분
軍	군, 군대
輸送	수송
辞任	사임
途中	도중
通常	통상, 보통
通産省	통산성(옛 통상산업성)
通貨	통화
連絡	연락
運営	운영
道路	도로
違い	차이
選ぶ	고르다, 선택하다
部屋	방
長期	장기
開放	개방
関税	관세
防止	방지
集団	집단
雇用	고용
雑誌	잡지
難民	난민
非常	비상, 대단함
革命	혁명
馬	말(동물)
一定	일정함
一層	한층, 더욱
不信	불신
両親	부모, 양친
争い	다툼, 분쟁
交代	교대
仕組み	구조, 짜임새
付近	부근
任期	임기
伸び	신장, 증가
体育	체육
供給	공급
価値	가치
信用	신용
信頼	신뢰
値上げ	가격 인상
側	쪽, 측
優先	우선
児童	아동
入札	입찰
全力	전력, 온 힘
全部	전부
公明	공명함
兵器	병기, 무기
再建	재건
再開	재개
出席	출석
出演	출연
出版	출판
制作	제작
制限	제한
割合	비율
劇	극, 연극
動向	동향
勝る	낫다, 뛰어나다
勝負	승부
勢い	기세
勤務	근무
卒業	졸업
単位	단위, 학점
印象	인상
原告	원고(소송)
原油	원유
参考	참고
反応	반응
収支	수지
向上	향상
周囲	주위
和解	화해
器械	기계, 기구
国交	국교
国営	국영
圧力	압력
地位	지위
地価	땅값, 지가
場面	장면
変わる	바뀌다, 변하다
変更	변경
外務	외무
多様	다양함
多角	다각
大型	대형
大臣	장관
大量	대량
失業	실업
好調	호조
学園	학원, 학교
定期	정기
実は	실은, 사실은
実行	실행
対日	대일
少数	소수
差別	차별, 구별
建築	건축
強制	강제
当然	당연함
必ず	반드시
志	뜻, 의지
応募	응모
思想	사상
急速	급속함
性格	성격
息子	아들
感覚	감각
成績	성적
戦い	싸움, 전투
手段	수단
手術	수술
指定	지정
授業	수업
損失	손실
損害	손해
支払い	지불
支配	지배
政局	정국
文部省	문부성
日常	일상
明治	메이지 시대
曲	곡, 악곡
最低	최저, 최악
有権者	유권자
期限	기한
未明	미명, 새벽
本格的	본격적
材料	재료
東欧	동유럽
格差	격차
業績	업적, 실적
構成	구성
権限	권한
横	가로, 옆
残り	나머지
残念	유감스러움, 아쉬움
殺人	살인
比率	비율
汚職	독직, 부정부패
決して	결코
決意	결의
決断	결단
活発	활발함
流通	유통
減少	감소
湾	만(灣)
演出	연출
燃料	연료
物価	물가
特定	특정
犯罪	범죄
現象	현상(現象)
現金	현금
理念	이념
生命	생명
番号	번호
登録	등록
百貨店	백화점
相場	시세
相当	상당, 해당
確認	확인
神	신
章	장(章)
答申	답신, 자문 회답
管	관, 파이프
経費	경비
結成	결성
絵画	회화, 그림
緑	초록, 녹색
美術館	미술관
職場	직장
職業	직업
肩	어깨
脳	뇌
脳死	뇌사
航空機	항공기
著者	저자
血	피
補助	보조
複数	복수(여럿)
複雑	복잡함
要因	요인
見込み	전망, 가망
規定	규정
解放	해방
解除	해제
訓練	훈련
設立	설립
設計	설계
許可	허가
課税	과세
講師	강사
谷	골짜기, 계곡
財界	재계
資本	자본
資格	자격
農家	농가
追加	추가
運輸	운수
過程	과정
部品	부품
金額	금액
鉄道	철도
雪	눈
預金	예금
額	액자, 금액
高齢	고령
中身	내용물, 알맹이
主権	주권
乗客	승객
了承	양해, 승낙
予備	예비
予防	예방
互い	서로
人材	인재
人類	인류
位置	위치
作曲	작곡
依然	여전히
保健	보건
個性	개성
値段	가격, 값
全面的	전면적
公害	공해
公認	공인
再生	재생
列車	열차
初日	첫날
制定	제정
加入	가입
助教授	조교수
効率	효율
勝ち	승리, 이김
募集	모집
化学	화학
北部	북부
匹	~마리
半導体	반도체
半数	절반 수
南部	남부
単純	단순함
占領	점령
原理	원리
反省	반성
司法	사법
同期	동기(같은 시기)
命	목숨, 생명
命令	명령
商業	상업
商社	상사(무역회사)
喜び	기쁨
回収	회수
困難	곤란함
在日	재일
地帯	지대
増税	증세
変動	변동
大勢	많은 사람, 여럿
大戦	대전
太陽	태양
夫妻	부부
失敗	실패
女優	여배우
婦人	부인, 여성
季節	계절
守備	수비
完全	완전함
完成	완성
定員	정원
実情	실정
寄付	기부
対決	대결
専用	전용
巨大	거대함
席	자리, 좌석
常に	항상
年寄り	노인
年末	연말
庁	청(관청)
床	바닥, 잠자리
底	바닥, 밑
役	역할, 배역
復帰	복귀
復活	부활
心臓	심장
心配	걱정
怒り	분노
悩み	고민
悪化	악화
感情	감정
感想	감상, 소감
担保	담보
指示	지시
採決	표결
操作	조작
支出	지출
改造	개조
救済	구제
教科書	교과서
暮らし	생활, 살림
暴力	폭력
有利	유리함
未来	미래
末	끝, 말(末)
柔軟	유연함
格好	모양, 꼴
植物	식물
検事	검사(檢事)
標準	표준
正面	정면
死亡	사망
残す	남기다
油	기름
治安	치안
法的	법적
波	파도
海軍	해군
涙	눈물
港	항구
演劇	연극
無職	무직
爆発	폭발
物資	물자
犯行	범행
球	구, 공
申し込み	신청
画面	화면
畑	밭
発想	발상
直	곧, 바로
知識	지식
短期	단기
確立	확립
移動	이동
移転	이전
窓	창문
窓口	창구
立候補	입후보
立法	입법
竹	대나무
笑い	웃음
笑顔	웃는 얼굴
経済的	경제적
絶対	절대
線	선
署名	서명
翌日	다음 날
腰	허리
船	배, 선박
葉	잎
著書	저서
表面	표면
製作	제작
要望	요망, 요청
観客	관객
解体	해체
解消	해소
解説	해설
計算	계산
設定	설정
許す	허락하다, 용서하다
説得	설득
調印	조인, 서명
論文	논문
財産	재산
貯金	저금
賃金	임금
賞金	상금
車両	차량
辞職	사직
農協	농협
農村	농촌
農民	농민
返済	변제, 상환
退職	퇴직
週刊	주간(주 1회 발행)
遅れ	지연, 늦음
遊び	놀이
過半数	과반수
適切	적절함
適用	적용
郊外	교외
郵便	우편
配分	배분
酒	술
重点	중점
鉄	철
限界	한계
面積	면적
順調	순조로움
風景	풍경
飛行	비행
骨	뼈
高級	고급
一段	한층, 한 단계
一種	일종
不安定	불안정함
不当	부당함
不法	불법
世帯	세대(가구)
両者	양자, 둘 다
主任	주임
主役	주역
二階	2층
互いに	서로
人形	인형
人種	인종
仏教	불교
他人	타인
仮に	가령, 임시로
仲介	중개
任務	임무
例外	예외
例年	예년
保存	보존
保安	보안
倒産	도산, 파산
側面	측면
入賞	입상
公務員	공무원
公立	공립
公約	공약
公表	공표
冷静	냉정함
凍結	동결
出版社	출판사
判定	판정
前向き	긍정적임, 앞을 향함
前期	전기(前期)
割	비율, 할
加工	가공
半面	반면
卵	알, 달걀
原点	원점
原爆	원폭
友達	친구
収集	수집
取得	취득
合格	합격
否定	부정
周り	주위, 둘레
呼吸	호흡
商店	상점
善	선(善)
回数	횟수
在る	있다
地下鉄	지하철
地点	지점
型	형, 모델
大蔵	대장(옛 재무부)
大陸	대륙
孫	손자
官庁	관청
定年	정년
宝	보물
実に	참으로, 실로
室内	실내
容易	용이함, 쉬움
小型	소형
展望	전망
展示	전시
工夫	궁리, 고안
常識	상식
平成	헤이세이 시대
引退	은퇴
強盗	강도
当事者	당사자
当日	당일
形式	형식
形成	형성
得意	잘함, 득의양양
必ずしも	반드시 (~은 아니다)
必死	필사적임
急性	급성
息	숨, 호흡
戦前	전전(전쟁 이전)
招待	초대
接触	접촉
損	손해
数値	수치
整理	정리
文庫	문고
文章	문장, 글
新規	신규
星	별
書類	서류
最悪	최악
枝	가지
柔道	유도
根	뿌리
棒	막대기
橋	다리
歯	이, 치아
歴史的	역사적
比較	비교
気温	기온
汗	땀
海岸	해안
消極的	소극적
満足	만족
漁業	어업
演技	연기
点	점
無理	무리함
無罪	무죄
熱	열
熱心	열심임
犯人	범인
独特	독특함
率直	솔직함
現役	현역
理想	이상(理想)
理論	이론
由	연유, 까닭
申告	신고
留学	유학
留学生	유학생
異常	이상함
痛み	통증, 아픔
登場	등장
皆	모두
直ちに	즉시, 곧바로
看板	간판
真相	진상
着実	착실함
確定	확정
示す	보이다, 나타내다
礼	예의, 사례
神社	신사
神経	신경
税金	세금
種類	종류
空軍	공군
競馬	경마
約束	약속
紹介	소개
終了	종료
終戦	종전
経過	경과
給与	급여
罪	죄
翌年	이듬해
育児	육아
能	능력, 노(가면극)
腕	팔, 솜씨
腹	배, 복부
芸能	연예
血液	혈액
西欧	서유럽
評判	평판
認可	인가
調子	상태, 가락
論争	논쟁
論理	논리
警官	경찰관
豊富	풍부함
負け	패배
買収	매수, 인수
贈る	선물하다, 보내다
路上	노상, 길 위
軍人	군인
輪	고리, 바퀴
追い込む	몰아넣다
追う	쫓다
連日	연일
達成	달성
選出	선출
配当	배당
間も無く	곧, 머지않아
限る	한정하다
陸	육지
陸上	육상
電波	전파
静か	조용함
革新	혁신
順位	순위
願い	바람, 소원
飛行機	비행기
駐車場	주차장
一面	일면, 한쪽 면
上司	상사
不在	부재
不良	불량함
主演	주연
予約	예약
交付	교부
人数	인원수
付き合い	교제, 사귐
体調	몸 상태, 컨디션
余地	여지
依頼	의뢰
便利	편리함
信号	신호
値下げ	가격 인하
健全	건전함
兆し	조짐, 징조
光景	광경
全身	전신, 온몸
冬季	동계, 겨울철
出荷	출하
分割	분할
列島	열도
初期	초기
判事	판사
副作用	부작용
助手	조수
努める	노력하다, 힘쓰다
動機	동기
務める	맡다, 근무하다
包む	싸다, 감싸다
区域	구역
半島	반도
単なる	단순한
単に	단순히
印刷	인쇄
原作	원작
参議院	참의원
取る	잡다, 취하다
合理化	합리화
商売	장사
国鉄	국철
国際化	국제화
塩	소금
外貨	외화
外部	외부
失う	잃다
女王	여왕
学科	학과
実用	실용
宿泊	숙박
富	부, 재산
将軍	장군
居住	거주
屋根	지붕
布	천, 옷감
席上	석상, 그 자리에서
庭	정원, 마당
延期	연기
当たり前	당연함
当分	당분간
役所	관공서
後期	후기
応じる	응하다
念頭	염두
恋	사랑, 연애
恐怖	공포
悲劇	비극
感動	감동
戦車	전차
打つ	치다, 때리다
指	손가락
放る	던지다, 내버려두다
敗戦	패전
文芸	문예
方面	방면
暮れ	해질녘, 연말
最大限	최대한
有罪	유죄
木造	목조
未定	미정
末期	말기
条例	조례
東部	동부
果たして	과연
根本	근본
次回	다음 번
次第に	점차, 차츰
正当	정당함
歯止め	제동, 브레이크
残高	잔고
殺す	죽이다
毛	털
気象	기상
気配	기색, 낌새
水面	수면
泉	샘
法学	법학
活用	활용
流行	유행
消防	소방
温度	온도
温暖	온난함
温泉	온천
湯	뜨거운 물
漁船	어선
演習	연습, 훈련
無線	무선
熱帯	열대
独占	독점
玉	구슬, 공
登山	등산
登校	등교
皆さん	여러분
目玉	눈알, 핵심
知恵	지혜
知的	지적
砂	모래
祭	축제
移民	이민
種目	종목
突破	돌파
節	마디, 시기
給料	급료, 월급
給食	급식
総数	총수
習慣	습관
肌	피부
自殺	자살
苦労	고생
草	풀
虫	벌레
表	겉, 표
複合	복합
西部	서부
規則	규칙
訪ねる	방문하다
調停	조정, 중재
警告	경고
議題	의제
貨物	화물
賞	상
身長	키, 신장
追放	추방
通勤	통근
通過	통과
週末	주말
進路	진로
運賃	운임
過ぎ	지남, ~지나서
違法	위법
適当	적당함
銅	구리
開設	개설
限定	한정
陸軍	육군
陽	양(陽)
際	때, 즈음
雲	구름
非難	비난
靴	신발, 구두
順	순서
香り	향기
高層	고층
高等	고등
高速	고속
高速道路	고속도로
髪	머리카락
一流	일류
上演	상연
不可欠	불가결함
不可能	불가능함
不自由	부자유스러움, 불편함
不要	불필요함
両方	양쪽, 둘 다
両面	양면
中絶	중절
久しぶり	오랜만
了解	이해, 양해
予報	예보
亡命	망명
交通事故	교통사고
仲	사이, 관계
体操	체조
使命	사명
修理	수리
個々	개개, 각각
値	값, 수치
全般	전반
公団	공단
公正	공정함
共に	함께
具合	상태, 형편
再三	재삼, 여러 번
出張	출장
分担	분담
制約	제약
勇気	용기
動物園	동물원
印	표시, 도장
原料	원료
取り消し	취소
受け止める	받아들이다, 받아내다
可	가함, 가능
合宿	합숙
同志	동지
向き	방향, 적합함
呼びかけ	호소
喫煙	흡연
囲む	둘러싸다
固定	고정
塔	탑
外科	외과
天然	천연
奥	안쪽, 깊숙한 곳
姓	성(姓)
安易	안이함
実家	본가, 친정
家賃	집세
容器	용기, 그릇
宿	숙소
届	신고서
岸	기슭, 물가
巻き込む	말려들게 하다
平等	평등함
年収	연봉
幼児	유아
当たり	적중, 당첨
役者	배우
心境	심경
恋人	연인
悲しみ	슬픔
想像	상상
成人	성인
成分	성분
戸	문, 지게문
手当	수당, 처치
技	기술, 재주
持ち込む	가지고 들어가다
敗北	패배
教訓	교훈
数量	수량
日記	일기
昇進	승진
時速	시속
晩	저녁, 밤
普段	평소
暗殺	암살
暴動	폭동
有無	유무
朝刊	조간
木材	목재
本番	실전, 본방송
机	책상
案内	안내
植民地	식민지
検定	검정
楽器	악기
様相	양상
正直	정직함
水泳	수영
河川	하천
消印	소인
減速	감속
点検	점검
無効	무효
煙	연기
猫	고양이
生存	생존
画像	화상, 이미지
疲れ	피로
相変わらず	여전히
真実	진실
突然	돌연, 갑작스러움
糸	실
経由	경유
職務	직무
胃	위(장기)
背中	등
苦情	불만, 고충
衣装	의상
記念日	기념일
記述	기술, 서술
誤り	잘못, 오류
誤解	오해
談話	담화
貧困	빈곤
軍備	군비
農地	농지
農林	농림
近郊	근교
通達	통달, 통지
速度	속도
連休	연휴
連帯	연대
運命	운명
道具	도구
郵便局	우체국
重量	중량
間違い	실수, 틀림
防御	방어
限度	한도
階段	계단
階級	계급
難しい	어렵다
面接	면접
一帯	일대
上陸	상륙
不利	불리함
不幸	불행함
両手	양손
代替	대체
任意	임의
会費	회비
伝説	전설
住宅地	주택지
住居	주거
入選	입선
内	안, 내부
冷蔵庫	냉장고
刊行	간행
列	줄, 열
利害	이해관계
到着	도착
制服	제복, 교복
化石	화석
厚さ	두께
厚生	후생
参照	참조
収容	수용
取り調べ	취조, 조사
受け入れる	받아들이다
受信	수신
司会	사회(진행)
向かい	맞은편
品種	품종
団地	단지(아파트)
境	경계
増大	증대
夕刊	석간
大部分	대부분
天候	날씨, 기후
宅地	택지
実感	실감
家具	가구
寺院	사원, 절
尊重	존중
岩	바위
工芸	공예
幅広い	폭넓다
平年	평년
座席	좌석
役人	관리, 공무원
急増	급증
性能	성능
悲観	비관
情熱	정열
手造り	수제
才能	재능
抱える	안다, 떠안다
押さえる	누르다, 억누르다
押す	밀다, 누르다
持続	지속
採算	채산, 수지
支払う	지불하다
支社	지사
改良	개량
文化財	문화재
旅客	여객
日の丸	일장기
日付	날짜
最小限	최소한
月刊	월간
板	판자
様々	여러 가지
正規	정규
残業	잔업, 야근
殿	~님, ~전(殿)
気候	기후
氷	얼음
求人	구인
河口	강어귀, 하구
油田	유전
法務	법무
活力	활력
流す	흘리다, 틀다
混迷	혼미, 혼란
清算	청산
測定	측정
湖	호수
照明	조명
牛乳	우유
特許	특허
独身	독신
王国	왕국
王子	왕자
現れ	나타남, 표현
疲労	피로
発掘	발굴
皮	껍질, 가죽
皮膚	피부
着陸	착륙
祝い	축하
神話	신화
禁煙	금연
米価	쌀값
紙面	지면
結ぶ	묶다, 맺다
結構	훌륭함, 괜찮음
絵本	그림책
絶好	절호의
続々	속속, 잇따라
美しい	아름답다
老後	노후
船長	선장
良い	좋다
若干	약간
苦しみ	괴로움
苦手	서투름, 질색임
衣料	의료(옷)
袋	봉지, 자루
見舞う	문병하다, 위문하다
親類	친척
観察	관찰
解雇	해고
言論	언론
評論	평론
課	과(부서), 과(단원)
調理	조리
賃貸	임대
賛否	찬반
踊り	춤
身元	신원
車内	차내
返事	답장, 대답
速やか	신속함
造船	조선(배 건조)
過失	과실
選定	선정
配置	배치
針	바늘
階	층
面倒	귀찮음, 성가심
頂点	정점
領域	영역
頼む	부탁하다
鼻	코
一応	일단
乗組員	승무원
乳	젖, 우유
予知	예지
信念	신념
倍	배, 두 배
偉大	위대함
備える	갖추다, 대비하다
共存	공존
内側	안쪽
出血	출혈
利子	이자
制御	제어
前例	전례
割引	할인
加速	가속
南極	남극
反乱	반란
反戦	반전
受付	접수처
同級生	동급생
固める	굳히다
固有	고유함
園	동산, 원(園)
在学	재학
坂	비탈, 언덕
境界	경계
学歴	학력
守る	지키다
寄せる	가까이 대다, 보내다
局	국(부서)
帽子	모자
平日	평일
平野	평야
幸せ	행복함
引き続き	계속해서
徒歩	도보
応用	응용
性別	성별
恋愛	연애
愛情	애정
感じる	느끼다
戦場	전장
手順	순서, 절차
批評	비평
技能	기능, 기술
折	기회, 때
掃除	청소
接近	접근
放火	방화
救助	구조
数学	수학
断念	단념
時刻	시각
有害	유해함
服装	복장
期日	기일
果物	과일
様式	양식
機体	기체
歩調	보조, 걸음걸이
汚れ	더러움, 얼룩
波乱	파란, 소동
洗濯	세탁, 빨래
浴びる	뒤집어쓰다, 받다
海底	해저
清掃	청소
満員	만원
灯	등불
無事	무사함
熱意	열의
熱気	열기
王者	왕자, 챔피언
理科	이과
用途	용도
的確	적확함, 정확함
盗む	훔치다
石炭	석탄
破産	파산
祖父	할아버지
私鉄	사철(민영 철도)
科学者	과학자
科目	과목
筆	붓
箱	상자
紅	진홍색
細かい	잘다, 세세하다
終止符	마침표
経歴	경력
経理	경리
絶望	절망
続き	계속, 다음 편
総理大臣	총리대신
美	미, 아름다움
職人	장인
背	등, 키
自主的	자주적
自覚	자각
航海	항해
荷物	짐
補給	보급
親善	친선
角度	각도
調和	조화
警報	경보
議決	의결
身分	신분
部下	부하
金庫	금고
録音	녹음
隅	구석
難問	난문, 어려운 문제
革	가죽
風速	풍속
黄金	황금
上級	상급
中退	중퇴
予断	예단
人格	인격
人道的	인도적
他方	다른 한편
任命	임명
係	담당, 계
保管	보관
倍率	배율
倒れる	쓰러지다, 넘어지다
公平	공평함
共感	공감
冷凍	냉동
処置	처치, 조치
分配	분배
切符	표, 승차권
利息	이자
利率	이율
到来	도래
前途	앞길, 장래
劇的	극적
勝敗	승패
勤労	근로
単一	단일함
友情	우정
反論	반론
収拾	수습
合法	합법
合理的	합리적
同情	동정
名刺	명함
吸収	흡수
喜劇	희극
喫茶店	찻집, 카페
四季	사계
団結	단결
在留	체류
均等	균등함
城	성(城)
定価	정가
客席	객석
客観的	객관적
対処	대처
対等	대등
市役所	시청
布団	이불, 요
帰宅	귀가
当てる	맞히다, 대다
役目	역할, 임무
心身	심신
念願	염원
性質	성질
情	정, 인정
感心	감탄
手形	어음
技師	기사, 기술자
投書	투서, 독자 투고
担任	담임
接する	접하다
接待	접대
救急車	구급차
散歩	산책
断る	거절하다
新築	신축
日数	날수, 일수
昨日	어제
時折	이따금
最適	최적
望み	희망, 바람
校則	교칙
横断	횡단
機長	기장
欠席	결석
次元	차원
毒	독
民法	민법
気圧	기압
永遠	영원
泥	진흙
活字	활자
点数	점수
無人	무인
画期的	획기적
発信	발신
発覚	발각
皿	접시
相続	상속
相違	상이, 차이
県庁	현청
確率	확률
祖母	할머니
祝日	공휴일
神様	신, 하느님
童話	동화
簡易	간이함
粒	알갱이, 알
線路	선로
肩書	직함
肯定	긍정
良好	양호함
苦悩	고뇌
落ちる	떨어지다
著名	저명함
蔵	곳간, 창고
血圧	혈압
血管	혈관
表紙	표지
補強	보강
製薬	제약
要する	요하다, 필요로 하다
記す	적다, 기록하다
課程	과정(課程)
講堂	강당
財布	지갑
辞書	사전
農場	농장
辺	근처, 변(邊)
逆	반대, 역
過労	과로
配偶者	배우자
鉄骨	철골
難航	난항
面会	면회
顔触れ	멤버, 진용
上流	상류
不自然	부자연스러움
並び	줄, 나란함
中断	중단
中毒	중독
中途	중도
乱用	남용
争う	다투다, 겨루다
交差点	교차로
交際	교제
使節	사절
保育所	보육원
信者	신자
修了	수료
優勢	우세함
全集	전집
公務	공무
内科	내과
再度	재차, 다시
出現	출현
分散	분산
募る	모집하다, 심해지다
包囲	포위
包装	포장
反動	반동
可決	가결
号	호(號)
善意	선의
器	그릇
器具	기구
回路	회로
国税	국세
地面	지면, 땅바닥
外側	바깥쪽
大河	큰 강
天才	천재
失望	실망
好感	호감
婚約	약혼
子孫	자손
定着	정착
宝石	보석
実習	실습
客観	객관
封筒	봉투
市販	시판
幸福	행복
府立	부립
引き換え	교환, 맞바꿈
弱点	약점
性的	성적(性的)
悲鳴	비명
愛する	사랑하다
承知	알고 있음, 승낙
抜群	발군, 뛰어남
拡張	확장
換算	환산
改める	고치다, 새롭게 하다
日本酒	일본술, 사케
最強	최강
根回し	사전 교섭
欲	욕심
永久	영구함
法規	법규
消息	소식
液体	액체
深める	깊게 하다
混雑	혼잡
渡す	건네다, 건너게 하다
満たす	채우다, 충족하다
満点	만점
濃厚	진함, 농후함
無断	무단
無言	무언
版画	판화
特権	특권
特異	특이함
田園	전원
留守	부재중, 집 비움
異動	인사이동
病状	병세
発達	발달
祈り	기도
移住	이주
税関	세관
筆者	필자
結び	맺음, 결말
美人	미인
群	무리, 군(群)
群れ	무리, 떼
苦い	쓰다
苦痛	고통
落語	라쿠고(만담)
行列	행렬, 줄
見舞い	병문안, 위문
規律	규율
貝	조개
超える	넘다, 초과하다
身内	친척, 집안 식구
転勤	전근
辞退	사퇴
都庁	도청(도쿄도청)
配達	배달
鉱山	광산
鋭い	날카롭다
閉会	폐회
限り	한, 한계
順番	순번, 차례
頭痛	두통
高価	고가
高原	고원
高温	고온
麦	보리
黄色	노란색
１等	1등
一向に	전혀
並	보통, 나란함
乾燥	건조
付加	부가
余計	쓸데없음, 여분
値上がり	가격 상승
停電	정전
先祖	조상
入浴	목욕
公営	공영
内陸	내륙
冷ややか	쌀쌀함, 냉랭함
出勤	출근
切実	절실함
助言	조언
参政権	참정권
取り決め	합의, 약정
受け取る	받다, 수령하다
叫ぶ	외치다
合成	합성
同居	동거
商談	상담(商談)
大多数	대다수
奥行	깊이
宝くじ	복권
対談	대담
小麦	밀
居間	거실
川原	강가 모래밭
庭園	정원
引っ越し	이사
得	이득, 이익
必着	반드시 도착
恥	부끄러움, 수치
感触	감촉
手伝い	도움, 조수
探検	탐험
敬意	경의
文化的	문화적
時効	시효
時限	시한, 교시
晩年	만년
暮れる	저물다
暴落	폭락
有望	유망함
望む	바라다, 원하다
楽観的	낙관적
欠点	결점
歯科	치과
法令	법령
活気	활기
消しゴム	지우개
消化	소화
無数	무수함
無条件	무조건
無責任	무책임함
片手	한 손
現に	실제로
用具	용구, 도구
皆様	여러분
直線	직선
破片	파편
確信	확신
科	과(부서, 분류)
究極	궁극
節約	절약
紅白	홍백
組み込む	짜 넣다, 편입하다
美容	미용
背広	양복, 정장
航路	항로
落ち込む	침체되다, 우울해지다
落札	낙찰
衣類	의류
表記	표기
補正	보정
要するに	요컨대
要領	요령
見直す	재검토하다, 다시 보다
見詰める	응시하다
解約	해약
